EP_train_pretrain:0:   0%|| 0/14746 [00:00<?, ?it/s]/home/yichuan/HKU/EBM/ire_reasoning/main.py:250: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss_is_nan = torch.isnan(torch.tensor(ce_loss)).any()
                                                              
{'epoch': 0, 'sample': 0, 'avg_loss': 2.261277914047241, 'loss': 2.261277914047241}
{'epoch': 0, 'sample': 10, 'avg_loss': 2.1876840591430664, 'loss': 2.1990725994110107}
{'epoch': 0, 'sample': 20, 'avg_loss': 2.1680730751582553, 'loss': 2.1040632724761963}
{'epoch': 0, 'sample': 30, 'avg_loss': 2.162112728241951, 'loss': 2.1537837982177734}
{'epoch': 0, 'sample': 40, 'avg_loss': 2.1547080365622917, 'loss': 2.1117939949035645}
{'epoch': 0, 'sample': 50, 'avg_loss': 2.1360236943936814, 'loss': 2.0451784133911133}
{'epoch': 0, 'sample': 60, 'avg_loss': 2.1160106658935547, 'loss': 1.956640601158142}
{'epoch': 0, 'sample': 70, 'avg_loss': 2.087999921449473, 'loss': 1.8579065799713135}
{'epoch': 0, 'sample': 80, 'avg_loss': 2.0567272342281577, 'loss': 1.7774685621261597}
{'epoch': 0, 'sample': 90, 'avg_loss': 2.021873111253256, 'loss': 1.7248855829238892}
{'epoch': 0, 'sample': 100, 'avg_loss': 1.984992271602744, 'loss': 1.5696208477020264}
{'epoch': 0, 'sample': 110, 'avg_loss': 1.9461600254247855, 'loss': 1.488064169883728}
{'epoch': 0, 'sample': 120, 'avg_loss': 1.906285581509929, 'loss': 1.3610217571258545}
{'epoch': 0, 'sample': 130, 'avg_loss': 1.8636146802028626, 'loss': 1.3526577949523926}
{'epoch': 0, 'sample': 140, 'avg_loss': 1.8217645063467904, 'loss': 1.2390614748001099}
{'epoch': 0, 'sample': 150, 'avg_loss': 1.7801080081636542, 'loss': 1.1021076440811157}
{'epoch': 0, 'sample': 160, 'avg_loss': 1.7381255885829097, 'loss': 1.0639748573303223}
{'epoch': 0, 'sample': 170, 'avg_loss': 1.6978063743714003, 'loss': 1.0131609439849854}
{'epoch': 0, 'sample': 180, 'avg_loss': 1.6591289306872457, 'loss': 0.999540388584137}
{'epoch': 0, 'sample': 190, 'avg_loss': 1.6223732620009577, 'loss': 0.928943395614624}
{'epoch': 0, 'sample': 200, 'avg_loss': 1.5879006388768628, 'loss': 0.9265376925468445}
{'epoch': 0, 'sample': 210, 'avg_loss': 1.5556983371481512, 'loss': 0.8907977342605591}
{'epoch': 0, 'sample': 220, 'avg_loss': 1.5254433311488294, 'loss': 0.859728217124939}
{'epoch': 0, 'sample': 230, 'avg_loss': 1.4966997019140236, 'loss': 0.8786369562149048}
{'epoch': 0, 'sample': 240, 'avg_loss': 1.4700998723259606, 'loss': 0.850020706653595}
{'epoch': 0, 'sample': 250, 'avg_loss': 1.4454192424200445, 'loss': 0.8250237703323364}
{'epoch': 0, 'sample': 260, 'avg_loss': 1.4217185672672314, 'loss': 0.819372832775116}
{'epoch': 0, 'sample': 270, 'avg_loss': 1.399535295048323, 'loss': 0.7845194339752197}
{'epoch': 0, 'sample': 280, 'avg_loss': 1.37961789997447, 'loss': 0.8615922927856445}
{'epoch': 0, 'sample': 290, 'avg_loss': 1.3605123727591997, 'loss': 0.8092101812362671}
{'epoch': 0, 'sample': 300, 'avg_loss': 1.342392822238694, 'loss': 0.8075981736183167}
{'epoch': 0, 'sample': 310, 'avg_loss': 1.3253365530845054, 'loss': 0.8055838942527771}
{'epoch': 0, 'sample': 320, 'avg_loss': 1.3088997641456461, 'loss': 0.789287805557251}
{'epoch': 0, 'sample': 330, 'avg_loss': 1.2936415018631973, 'loss': 0.7962707281112671}
{'epoch': 0, 'sample': 340, 'avg_loss': 1.2792229538788893, 'loss': 0.8108207583427429}
{'epoch': 0, 'sample': 350, 'avg_loss': 1.265224563939619, 'loss': 0.7957791686058044}
{'epoch': 0, 'sample': 360, 'avg_loss': 1.252225590049395, 'loss': 0.7926241159439087}
{'epoch': 0, 'sample': 370, 'avg_loss': 1.239788057026516, 'loss': 0.785594642162323}
{'epoch': 0, 'sample': 380, 'avg_loss': 1.2276892776251465, 'loss': 0.786440908908844}
{'epoch': 0, 'sample': 390, 'avg_loss': 1.216284775368088, 'loss': 0.8201239109039307}
{'epoch': 0, 'sample': 400, 'avg_loss': 1.204983489917698, 'loss': 0.7573011517524719}
{'epoch': 0, 'sample': 410, 'avg_loss': 1.1941916727961706, 'loss': 0.7705627679824829}
{'epoch': 0, 'sample': 420, 'avg_loss': 1.184390133321993, 'loss': 0.7978662252426147}
{'epoch': 0, 'sample': 430, 'avg_loss': 1.1747376903580402, 'loss': 0.7591016292572021}
{'epoch': 0, 'sample': 440, 'avg_loss': 1.1654576207775107, 'loss': 0.7837756872177124}
{'epoch': 0, 'sample': 450, 'avg_loss': 1.1566818771499752, 'loss': 0.7617719769477844}
{'epoch': 0, 'sample': 460, 'avg_loss': 1.1480085576951116, 'loss': 0.7529104948043823}
{'epoch': 0, 'sample': 470, 'avg_loss': 1.1399438061025744, 'loss': 0.7582552433013916}
{'epoch': 0, 'sample': 480, 'avg_loss': 1.1319866436930555, 'loss': 0.7723957896232605}
{'epoch': 0, 'sample': 490, 'avg_loss': 1.1244571676322253, 'loss': 0.7687452435493469}
{'epoch': 0, 'sample': 500, 'avg_loss': 1.1172522013772748, 'loss': 0.7602502107620239}
{'epoch': 0, 'sample': 510, 'avg_loss': 1.1099776822760148, 'loss': 0.739129900932312}
{'epoch': 0, 'sample': 520, 'avg_loss': 1.1029246433453916, 'loss': 0.7549229264259338}
{'epoch': 0, 'sample': 530, 'avg_loss': 1.0960790383613717, 'loss': 0.7514916658401489}
{'epoch': 0, 'sample': 540, 'avg_loss': 1.0896101306414647, 'loss': 0.7566623687744141}
{'epoch': 0, 'sample': 550, 'avg_loss': 1.083248806843524, 'loss': 0.7301797270774841}
{'epoch': 0, 'sample': 560, 'avg_loss': 1.077346058771572, 'loss': 0.7384192943572998}
{'epoch': 0, 'sample': 570, 'avg_loss': 1.0714506868096867, 'loss': 0.7140507102012634}
{'epoch': 0, 'sample': 580, 'avg_loss': 1.065624894866024, 'loss': 0.7156370878219604}
{'epoch': 0, 'sample': 590, 'avg_loss': 1.0600489284181354, 'loss': 0.7080986499786377}
{'epoch': 0, 'sample': 600, 'avg_loss': 1.0545276857652204, 'loss': 0.7479376792907715}
{'epoch': 0, 'sample': 610, 'avg_loss': 1.049405105375424, 'loss': 0.7252821326255798}
{'epoch': 0, 'sample': 620, 'avg_loss': 1.0443375871761218, 'loss': 0.725149929523468}
{'epoch': 0, 'sample': 630, 'avg_loss': 1.0393369321588857, 'loss': 0.7062315344810486}
{'epoch': 0, 'sample': 640, 'avg_loss': 1.034460041991634, 'loss': 0.7266964912414551}
{'epoch': 0, 'sample': 650, 'avg_loss': 1.029851605357479, 'loss': 0.7410077452659607}
{'epoch': 0, 'sample': 660, 'avg_loss': 1.0253791250006694, 'loss': 0.7430753111839294}
{'epoch': 0, 'sample': 670, 'avg_loss': 1.0209816800855134, 'loss': 0.7276666760444641}
{'epoch': 0, 'sample': 680, 'avg_loss': 1.0166630877097098, 'loss': 0.7425413727760315}
{'epoch': 0, 'sample': 690, 'avg_loss': 1.0124741919478872, 'loss': 0.7514153122901917}
{'epoch': 0, 'sample': 700, 'avg_loss': 1.008435859829825, 'loss': 0.7443454265594482}
{'epoch': 0, 'sample': 710, 'avg_loss': 1.0044830485067622, 'loss': 0.7403566241264343}
{'epoch': 0, 'sample': 720, 'avg_loss': 1.0005585376829447, 'loss': 0.7255131006240845}
{'epoch': 0, 'sample': 730, 'avg_loss': 0.9966963071340412, 'loss': 0.7129175662994385}
{'epoch': 0, 'sample': 740, 'avg_loss': 0.9928742288417018, 'loss': 0.7108802199363708}
{'epoch': 0, 'sample': 750, 'avg_loss': 0.9892670692362576, 'loss': 0.7568495869636536}
{'epoch': 0, 'sample': 760, 'avg_loss': 0.9856715235227668, 'loss': 0.6914012432098389}
{'epoch': 0, 'sample': 770, 'avg_loss': 0.9821836708739264, 'loss': 0.7259559631347656}
{'epoch': 0, 'sample': 780, 'avg_loss': 0.9788407826851028, 'loss': 0.7370555400848389}
{'epoch': 0, 'sample': 790, 'avg_loss': 0.9755068204345655, 'loss': 0.7140964865684509}
{'epoch': 0, 'sample': 800, 'avg_loss': 0.97223792629742, 'loss': 0.6930856704711914}
{'epoch': 0, 'sample': 810, 'avg_loss': 0.9690705107113877, 'loss': 0.7053846120834351}
{'epoch': 0, 'sample': 820, 'avg_loss': 0.9660184572152476, 'loss': 0.7319702506065369}
{'epoch': 0, 'sample': 830, 'avg_loss': 0.9630040710726944, 'loss': 0.7188568115234375}
{'epoch': 0, 'sample': 840, 'avg_loss': 0.9600155045954991, 'loss': 0.6985094547271729}
{'epoch': 0, 'sample': 850, 'avg_loss': 0.9571454245531461, 'loss': 0.6942582130432129}
{'epoch': 0, 'sample': 860, 'avg_loss': 0.95433971448504, 'loss': 0.7184045910835266}
{'epoch': 0, 'sample': 870, 'avg_loss': 0.9515623586459767, 'loss': 0.6860331296920776}
{'epoch': 0, 'sample': 880, 'avg_loss': 0.9488076387009204, 'loss': 0.7062745690345764}
{'epoch': 0, 'sample': 890, 'avg_loss': 0.9461679067274537, 'loss': 0.7095179557800293}
{'epoch': 0, 'sample': 900, 'avg_loss': 0.9435123749631359, 'loss': 0.693467378616333}
{'epoch': 0, 'sample': 910, 'avg_loss': 0.9409319051795942, 'loss': 0.7063196301460266}
{'epoch': 0, 'sample': 920, 'avg_loss': 0.9383366778412031, 'loss': 0.6941909193992615}
{'epoch': 0, 'sample': 930, 'avg_loss': 0.9358872608006576, 'loss': 0.7113538384437561}
{'epoch': 0, 'sample': 940, 'avg_loss': 0.9333299248302147, 'loss': 0.7159191370010376}
{'epoch': 0, 'sample': 950, 'avg_loss': 0.9309383323641355, 'loss': 0.7101861238479614}
{'epoch': 0, 'sample': 960, 'avg_loss': 0.928681933544925, 'loss': 0.7048273682594299}
